cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Name_ru,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,duplicated
Київ,"вул. Архипенка Олександра, 6","Київ, вул. Архипенка Олександра, 6",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Багговутівська, 17-21","Київ, вул. Багговутівська, 17-21",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Бальзака Оноре, 91/29а","Київ, вул. Бальзака Оноре, 91/29а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Бандери Степана, 36","Київ, просп. Бандери Степана, 36",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Басейна, 6","Київ, вул. Басейна, 6",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Бережанська, 22","Київ, вул. Бережанська, 22",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Білоруська, 2","Київ, вул. Білоруська, 2",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Борщагівська, 154a","Київ, вул. Борщагівська, 154a",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Братиславська, 14Б","Київ, вул. Братиславська, 14Б",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Велика Окружна, 1","Київ, вул. Велика Окружна, 1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Вербицького Архітектора, 1а","Київ, вул. Вербицького Архітектора, 1а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Вербицького Архітектора, 30","Київ, вул. Вербицького Архітектора, 30",зачинено,6000,True,,,,,,,,,,,,,,,,,True
Київ,"вул. Вершигори Петра, 1","Київ, вул. Вершигори Петра, 1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Героїв Сталінграда, 12п","Київ, просп. Героїв Сталінграда, 12п",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Героїв Сталінграда, 27Б","Київ, просп. Героїв Сталінграда, 27Б",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Героїв Сталінграда, 46","Київ, просп. Героїв Сталінграда, 46",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Глибочицька, 32б","Київ, вул. Глибочицька, 32б",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Гончара Олеся, 96","Київ, вул. Гончара Олеся, 96",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Григоренка Петра, 23","Київ, просп. Григоренка Петра, 23",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"бул. Дарницький, 8а","Київ, бул. Дарницький, 8а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"наб. Дніпровська, 12","Київ, наб. Дніпровська, 12",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"наб. Дніпровська, 33","Київ, наб. Дніпровська, 33",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Драгоманова, 10","Київ, вул. Драгоманова, 10",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Драгомирова Михайла, 16","Київ, вул. Драгомирова Михайла, 16",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Драйзера Теодора, 8","Київ, вул. Драйзера Теодора, 8",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Закревського Миколи, 61/2","Київ, вул. Закревського Миколи, 61/2",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Здолбунівська, 4","Київ, вул. Здолбунівська, 4",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Івашкевича Ярослава, 6-8 А","Київ, вул. Івашкевича Ярослава, 6-8 А",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Інженерна, 1","Київ, вул. Інженерна, 1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Калнишевського Петра, 2","Київ, вул. Калнишевського Петра, 2",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"пров. Карельський, 3","Київ, пров. Карельський, 3",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Кибальчича Миколи, 11А","Київ, вул. Кибальчича Миколи, 11А",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"бул. Кольцова, 14м","Київ, бул. Кольцова, 14м",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Конєва маршала, 7","Київ, вул. Конєва маршала, 7",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Лаврухіна, 4","Київ, вул. Лаврухіна, 4",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Липківського Василя митрополита, 1а","Київ, вул. Липківського Василя митрополита, 1а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Лісовий, 39","Київ, просп. Лісовий, 39",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Малевича, 107","Київ, вул. Малевича, 107",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Малиновського, 5","Київ, вул. Малиновського, 5",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Маяковського, 75/2","Київ, просп. Маяковського, 75/2",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Мишуги Олександра, 4","Київ, вул. Мишуги Олександра, 4",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Оболонський, 19","Київ, просп. Оболонський, 19",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Оболонський, 21Б","Київ, просп. Оболонський, 21Б",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Перемоги, 24","Київ, просп. Перемоги, 24",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Перемоги, 47","Київ, просп. Перемоги, 47",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Перемоги, 87","Київ, просп. Перемоги, 87",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Перемоги, 94/1","Київ, просп. Перемоги, 94/1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"бул. Перова, 36","Київ, бул. Перова, 36",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Північна, 6в","Київ, вул. Північна, 6в",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Підлісна, 1","Київ, вул. Підлісна, 1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Порика Василя, 5","Київ, просп. Порика Василя, 5",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Правди, 58","Київ, просп. Правди, 58",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Правди, 66","Київ, просп. Правди, 66",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Райдужна, 15","Київ, вул. Райдужна, 15",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Ревуцького, 12/1","Київ, вул. Ревуцького, 12/1",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"наб. Русанівська, 10","Київ, наб. Русанівська, 10",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Сагайдачного, 41","Київ, вул. Сагайдачного, 41",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Січових Стрільців, 37/41","Київ, вул. Січових Стрільців, 37/41",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"пл. Спортивна, 1а","Київ, пл. Спортивна, 1а",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"вул. Стальського Сулеймана, 22/10","Київ, вул. Стальського Сулеймана, 22/10",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"шосе Столичне, 103","Київ, шосе Столичне, 103",зачинено,0,False,,,,,,,,,,,,,,,,,True
Київ,"просп. Тичини Павла, 1в","Київ, просп. Тичини Павла, 1в",зачинено,0,False,,,,,,,,,,,,,,,,,True
