cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Дніпро,"просп. Слобожанський, 31д","Дніпро, просп. Слобожанський, 31д",08:00 - 18:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпро,"просп. Слобожанський, 76/78","Дніпро, просп. Слобожанський, 76/78",08:00 - 18:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпро,"вул. Титова, 36","Дніпро, вул. Титова, 36",08:00 - 18:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпро,"вул. Тополина, 1","Дніпро, вул. Тополина, 1",08:00 - 18:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпро,"вул. Фабра Андрія, 7","Дніпро, вул. Фабра Андрія, 7",08:00 - 18:00,6000,True,Дніпро,Dnipro,Дніпровський,UA1202,Dnipropetrovska,Дніпропетровська,UA12
Дніпрорудне,"вул. Героїв Праці, 11","Дніпрорудне, вул. Героїв Праці, 11",09:00 - 16:00,6000,True,Дніпрорудне,Dniprorudne,,,,,
Дрогобич,"вул. Володимира Великого, 7","Дрогобич, вул. Володимира Великого, 7",08:00 - 20:00,6000,True,Дрогобич,Drohobych,Дрогобицький,UA4602,Lvivska,Львівська,UA46
Дружківка,"вул. Соборна, 32а","Дружківка, вул. Соборна, 32а",09:00 - 16:00,0,True,Дружківка,Druzhkivka ,,,,,
Енергодар,"просп. Будівельників, 45","Енергодар, просп. Будівельників, 45",09:00 - 16:00,6000,True,Енергодар,Enerhodar,,,,,
Енергодар,"вул. Українська, 27 а","Енергодар, вул. Українська, 27 а",09:00 - 16:30,6000,True,Енергодар,Enerhodar,,,,,
Житомир,"вул. Грушевського Михайла, 5","Житомир, вул. Грушевського Михайла, 5",09:00 - 17:00,6000,True,Житомир,Zhytomyr,Житомирський,UA1804,Zhytomyrska,Житомирська,UA18
Житомир,"майд. Житній Ринок, 1","Житомир, майд. Житній Ринок, 1",09:00 - 17:00,6000,True,Житомир,Zhytomyr,Житомирський,UA1804,Zhytomyrska,Житомирська,UA18
Запоріжжя,"вул. Бородінська, 20б","Запоріжжя, вул. Бородінська, 20б",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"бул. Вінтера, 30","Запоріжжя, бул. Вінтера, 30",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Іванова, 1а","Запоріжжя, вул. Іванова, 1а",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"просп. Металургів, 8 б","Запоріжжя, просп. Металургів, 8 б",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Новокузнецька, 41","Запоріжжя, вул. Новокузнецька, 41",зачинено,0,True,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Перемоги, 64","Запоріжжя, вул. Перемоги, 64",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
