cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Київ,"вул. Бережанська, 22","Київ, вул. Бережанська, 22",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Білоруська, 2","Київ, вул. Білоруська, 2",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Борщагівська, 154a","Київ, вул. Борщагівська, 154a",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Братиславська, 14Б","Київ, вул. Братиславська, 14Б",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Велика Окружна, 1","Київ, вул. Велика Окружна, 1",з 09:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Вербицького Архітектора, 1а","Київ, вул. Вербицького Архітектора, 1а",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Вербицького Архітектора, 30","Київ, вул. Вербицького Архітектора, 30",з 07:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Вершигори Петра, 1","Київ, вул. Вершигори Петра, 1",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Глибочицька, 32б","Київ, вул. Глибочицька, 32б",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Гончара Олеся, 96","Київ, вул. Гончара Олеся, 96",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Григоренка Петра, 23","Київ, просп. Григоренка Петра, 23",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Дарницький, 8а","Київ, бул. Дарницький, 8а",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Дніпровська, 12","Київ, наб. Дніпровська, 12",з 09:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Дніпровська, 33","Київ, наб. Дніпровська, 33",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драгоманова, 10","Київ, вул. Драгоманова, 10",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драгомирова Михайла, 16","Київ, вул. Драгомирова Михайла, 16",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Драйзера Теодора, 8","Київ, вул. Драйзера Теодора, 8",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Закревського Миколи, 61/2","Київ, вул. Закревського Миколи, 61/2",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Здолбунівська, 4","Київ, вул. Здолбунівська, 4",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Івашкевича Ярослава, 6-8 А","Київ, вул. Івашкевича Ярослава, 6-8 А",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Інженерна, 1","Київ, вул. Інженерна, 1",з 07:30 до 21:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Калнишевського Петра, 2","Київ, вул. Калнишевського Петра, 2",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"пров. Карельський, 3","Київ, пров. Карельський, 3",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Кибальчича Миколи, 11А","Київ, вул. Кибальчича Миколи, 11А",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Кольцова, 14м","Київ, бул. Кольцова, 14м",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Конєва маршала, 7","Київ, вул. Конєва маршала, 7",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Лаврухіна, 4","Київ, вул. Лаврухіна, 4",з 07:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Липківського Василя митрополита, 1а","Київ, вул. Липківського Василя митрополита, 1а",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Лісовий, 39","Київ, просп. Лісовий, 39",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Малевича, 107","Київ, вул. Малевича, 107",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Малиновського, 5","Київ, вул. Малиновського, 5",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Маяковського, 75/2","Київ, просп. Маяковського, 75/2",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Мишуги Олександра, 4","Київ, вул. Мишуги Олександра, 4",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 19","Київ, просп. Оболонський, 19",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 21Б","Київ, просп. Оболонський, 21Б",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 24","Київ, просп. Перемоги, 24",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 47","Київ, просп. Перемоги, 47",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 87","Київ, просп. Перемоги, 87",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 94/1","Київ, просп. Перемоги, 94/1",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Перова, 36","Київ, бул. Перова, 36",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Північна, 6в","Київ, вул. Північна, 6в",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Підлісна, 1","Київ, вул. Підлісна, 1",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Порика Василя, 5","Київ, просп. Порика Василя, 5",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Правди, 58","Київ, просп. Правди, 58",з 08:00 до 22:30,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Правди, 66","Київ, просп. Правди, 66",з 07:30 до 22:30,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Райдужна, 15","Київ, вул. Райдужна, 15",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Ревуцького, 12/1","Київ, вул. Ревуцького, 12/1",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Русанівська, 10","Київ, наб. Русанівська, 10",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Сагайдачного, 41","Київ, вул. Сагайдачного, 41",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Січових Стрільців, 37/41","Київ, вул. Січових Стрільців, 37/41",з 05:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"пл. Спортивна, 1а","Київ, пл. Спортивна, 1а",з 07:00 до 23:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Стальського Сулеймана, 22/10","Київ, вул. Стальського Сулеймана, 22/10",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Столичне, 103","Київ, шосе Столичне, 103",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Тичини Павла, 1в","Київ, просп. Тичини Павла, 1в",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Філатова Академіка, 7","Київ, вул. Філатова Академіка, 7",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Харківське, 144б","Київ, шосе Харківське, 144б",з 07:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Харківське, 168","Київ, шосе Харківське, 168",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"шосе Харківське, 21","Київ, шосе Харківське, 21",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Чоколівський, 28/1","Київ, бул. Чоколівський, 28/1",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Чорнобильська, 3","Київ, вул. Чорнобильська, 3",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Шептицького, 22","Київ, вул. Шептицького, 22",з 07:30 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Щербаківського Данила, 56/7","Київ, вул. Щербаківського Данила, 56/7",з 07:30 до 22:30,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Юри Гната, 20","Київ, вул. Юри Гната, 20",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Якутська, 8","Київ, вул. Якутська, 8",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Ярославська, 56а","Київ, вул. Ярославська, 56а",з 08:00 до 22:00,6000,True,Kyiv,Київ,UA8000000000,Kyivska,Київська,UA8000000,Kyivska,Київська,UA8000,Kyivska,Київська,UA80
Лозова,"мікр. Мікрорайон 5, 1","Лозова, мікр. Мікрорайон 5, 1",з 08:00 до 22:00,6000,True,Lozova,Лозова,UA6310005001,Lozivska,Лозівська,UA6310005,Lozivskyi,Лозівський,UA6310,Kharkivska,Харківська,UA63
Львів,"вул. Виговського, 100","Львів, вул. Виговського, 100",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Володимира Великого, 26а","Львів, вул. Володимира Великого, 26а",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
